timestamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Delta_Aggregate,Theta_Aggregate,Alpha_Aggregate,Beta_Aggregate,Gamma_Aggregate
1694268925.079,689.81683,784.5055,825.6044,791.3553,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.079,688.60803,783.2967,828.8278,792.96704,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.079,693.0403,779.67035,825.6044,794.57874,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.08,694.65204,778.0586,826.8132,797.3993,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.08,699.0842,777.6557,828.8278,796.5934,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.08,698.2784,780.07324,826.0073,791.3553,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.0809999,695.8608,782.0879,827.619,802.23444,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.0809999,700.696,777.25275,826.4103,803.44324,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.0809999,726.08057,778.86444,826.0073,794.9817,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.0819998,746.2271,786.1172,829.2308,796.1905,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.109,747.8388,782.49084,827.2161,792.5641,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.1100001,754.2857,779.67035,823.5897,805.4579,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.1100001,777.25275,785.31134,819.9634,814.7253,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.111,792.5641,788.5348,819.9634,799.011,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.113,790.54944,787.72894,822.381,801.4286,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.1139998,786.1172,787.72894,821.978,799.81683,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.1139998,788.1319,785.31134,822.381,792.5641,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.1139998,799.011,789.7436,826.8132,799.81683,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.115,803.0403,791.3553,827.2161,807.8755,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.116,803.8461,789.34064,824.7985,810.293,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.116,803.44324,792.1612,826.0073,801.4286,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.1169999,798.20514,791.75824,825.2015,791.75824,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.145,816.337,785.7143,822.7839,791.75824,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.146,840.10986,790.14655,823.1868,797.8022,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.147,834.87177,797.3993,823.1868,800.2198,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.147,821.1722,794.9817,818.7546,792.1612,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.147,810.696,789.34064,817.9487,788.1319,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.147,808.68134,792.1612,822.7839,793.7729,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
